Date,Open,High,Low,Close,Adj Close,Volume
2018-10-26,247.380005,249.039993,244.309998,246.529999,243.920120,5882900
2018-10-29,248.720001,250.240005,241.050003,244.470001,241.881943,6833300
2018-10-30,244.440002,248.940002,244.089996,248.699997,246.067154,6151100
2018-10-31,250.940002,253.220001,250.389999,251.190002,248.530792,5376400
2018-11-01,252.149994,253.830002,250.910004,253.729996,251.043884,3267900
2018-11-02,255.380005,255.600006,250.580002,252.460007,249.787338,6413400
2018-11-05,252.839996,254.929993,252.500000,254.479996,251.785965,2833700
2018-11-06,254.529999,256.380005,254.330002,256.230011,253.517441,2193300
2018-11-07,258.459991,261.859985,257.500000,261.779999,259.008667,4462300
2018-11-08,261.529999,262.970001,260.970001,262.100006,259.325317,4023400
2018-11-09,261.160004,261.450012,259.040009,260.089996,257.336548,4386500
2018-11-12,259.700012,259.920013,253.679993,254.220001,251.528717,10153000
2018-11-13,253.830002,255.369995,252.229996,253.059998,250.380981,3937900
2018-11-14,255.020004,255.289993,249.669998,250.910004,248.253769,5610300
2018-11-15,250.199997,254.000000,248.350006,253.220001,250.539291,5667000
2018-11-16,251.789993,254.960007,251.339996,254.050003,251.958527,4529500
2018-11-19,253.610001,253.779999,248.839996,249.860001,247.803024,4249600
2018-11-20,246.360001,246.929993,243.529999,244.500000,242.487137,7341100
2018-11-21,245.839996,246.630005,244.580002,244.649994,242.635895,4257600
2018-11-23,243.250000,244.029999,242.710007,242.809998,240.811050,1928000
2018-11-26,244.869995,246.729996,244.679993,246.389999,244.361588,3435500
2018-11-27,245.179993,247.529999,244.139999,247.500000,245.462448,2932000
2018-11-28,249.119995,253.839996,248.589996,253.839996,251.750244,5132500
2018-11-29,253.600006,254.970001,252.220001,253.589996,251.502304,3471100
2018-11-30,253.100006,255.839996,252.830002,255.509995,253.406494,2991800
2018-12-03,260.170013,260.299988,257.019989,258.730011,256.600006,9544200
2018-12-04,257.640015,258.040009,250.380005,250.729996,248.665848,5376900
2018-12-06,246.360001,249.869995,242.820007,249.720001,247.664185,8232800
2018-12-07,249.660004,251.410004,243.289993,244.309998,242.298706,5963700
2018-12-10,243.940002,245.490005,239.250000,244.710007,242.695419,6021000
2018-12-11,248.440002,248.500000,242.660004,244.229996,242.219360,5646500
2018-12-12,247.389999,248.759995,245.649994,245.880005,243.855789,3734800
2018-12-13,246.419998,247.860001,245.169998,246.270004,244.242569,4455300
2018-12-14,244.059998,244.830002,240.820007,241.419998,239.432510,6591200
2018-12-17,240.039993,241.399994,235.050003,236.429993,234.483582,7036700
2018-12-18,238.440002,239.809998,235.669998,237.360001,235.405930,5349600
2018-12-19,237.550003,241.199997,232.070007,233.419998,231.498367,9545700
2018-12-20,232.589996,233.369995,226.949997,228.889999,227.005661,11912800
2018-12-21,229.009995,232.470001,223.850006,224.089996,222.844910,10242700
2018-12-24,222.500000,223.309998,217.880005,218.100006,216.888184,7024000
2018-12-26,219.190002,228.740005,216.970001,228.710007,227.439240,9761100
2018-12-27,225.539993,231.369995,222.529999,231.259995,229.975067,7952000
2018-12-28,232.710007,233.809998,229.669998,230.479996,229.199402,7266800
2018-12-31,232.330002,233.259995,231.050003,233.199997,231.904282,5079600
2019-01-02,229.270004,234.000000,229.139999,233.360001,232.063400,5319500
2019-01-03,231.250000,231.419998,226.360001,226.720001,225.460297,7350200
2019-01-04,230.000000,235.179993,229.729996,234.279999,232.978287,7343700
2019-01-07,234.839996,236.880005,232.949997,235.360001,234.052307,5101600
2019-01-08,237.940002,238.660004,235.789993,237.919998,236.598068,4845800
2019-01-09,238.929993,239.880005,237.779999,238.919998,237.592514,4872000
2019-01-10,237.639999,240.160004,237.039993,240.000000,238.666504,3052200
2019-01-11,238.869995,239.940002,237.960007,239.880005,238.547180,2047200
2019-01-14,237.929993,239.649994,237.639999,238.940002,237.612396,2330700
2019-01-15,238.940002,241.029999,238.889999,240.639999,239.302948,3940300
2019-01-16,241.360001,242.899994,241.139999,241.860001,240.516174,3718500
2019-01-17,241.229996,244.809998,241.039993,243.800003,242.445404,4108400
2019-01-18,245.649994,247.399994,244.509995,247.050003,245.852798,5393200
2019-01-22,245.350006,245.740005,242.350006,244.000000,242.817581,5218500
2019-01-23,246.149994,246.919998,242.979996,245.720001,244.529251,4330300
2019-01-24,245.470001,246.199997,244.130005,245.470001,244.280457,2840400
2019-01-25,247.389999,248.550003,246.679993,247.389999,246.191147,4110600
